customer_id,total_amount,avg_amount,std_amount,transaction_count,unique_tx_types,unique_channels,days_since_last_tx,avg_monthly_spend,age,age_group,location,income_level,employment_status,estimated_income,default_probability,defaulted
CUST00001,12511.15,1251.115,464.48222014171625,10,4,3,180.0,2502.2300000000005,30,25-34,Kisumu,Medium,Self-Employed,62918.74706191283,0.1,0
CUST00002,1948.44,278.34857142857146,154.295224318898,7,4,4,180.0,324.74,60,55+,Nairobi,Low,Employed,21956.67394893045,0.3,0
CUST00003,3188.11,637.6220000000001,380.0351743194306,5,3,3,180.0,797.0275,41,35-44,Nairobi,Low,Unemployed,26571.698589032334,0.6,1
CUST00004,15316.01,1021.0673333333333,407.87824614472294,15,5,3,180.0,2552.6683333333335,40,35-44,Thika,Medium,Employed,64377.13350627436,0.1,0
CUST00005,3786.04,420.6711111111111,146.154295133982,9,4,4,180.0,757.208,32,25-34,Nairobi,Low,Unemployed,21857.002798181707,0.6,1
CUST00006,10504.460000000001,1167.1622222222222,587.9015485559163,9,4,5,180.0,2626.1150000000002,30,25-34,Nakuru,Medium,Student,58097.66779227618,0.30000000000000004,0
CUST00007,20316.69,1562.8223076923075,727.7563788928481,13,5,3,180.0,4063.3379999999997,23,18-24,Nakuru,High,Unemployed,149687.59987262674,0.55,1
CUST00008,9047.84,1292.5485714285714,696.3724926940699,7,5,1,180.0,2261.96,50,45-54,Malindi,Medium,Employed,57954.21802605461,0.1,0
CUST00009,12604.51,1260.451,401.0211914170566,10,6,2,180.0,2100.7516666666666,42,35-44,Thika,Medium,Employed,59752.602745303724,0.1,0
CUST00010,3312.6000000000004,473.22857142857146,199.42878339803173,7,5,5,180.0,662.5200000000001,40,35-44,Thika,Low,Employed,20640.10009387303,0.3,0
CUST00011,6355.83,706.2033333333334,301.6258566502547,9,4,3,180.0,1271.166,21,18-24,Kisumu,Medium,Employed,67414.19087386371,0.35,1
CUST00012,13506.03,1038.9253846153847,566.8587868922233,13,6,2,180.0,2701.2059999999997,59,55+,Nairobi,Medium,Business Owner,59895.36310775186,0.1,0
CUST00013,7751.21,861.2455555555556,253.410020032314,9,5,3,180.0,1550.2419999999997,52,45-54,Mombasa,Medium,Employed,60613.70454268942,0.1,0
CUST00014,5363.71,536.371,211.46850579538633,10,5,4,180.0,893.9516666666667,32,25-34,Kisumu,Low,Business Owner,25946.354730642124,0.3,0
CUST00015,32103.71,3567.0788888888887,1258.3969570295021,9,6,4,180.0,8025.9275,32,25-34,Eldoret,High,Unemployed,155134.20547965125,0.3,0
CUST00016,8441.68,602.9771428571429,240.9495091197634,14,6,3,180.0,1406.9466666666667,28,25-34,Nakuru,Low,Employed,25437.622721173684,0.3,0
CUST00017,9697.119999999999,969.7119999999999,426.0845927695058,10,4,3,180.0,1939.4239999999998,30,25-34,Mombasa,Medium,Student,49045.24559305907,0.30000000000000004,1
CUST00018,9542.47,954.247,273.3658080728702,10,4,2,180.0,1908.494,42,35-44,Nairobi,Medium,Employed,58024.70261638127,0.1,0
CUST00019,15555.53,1414.139090909091,563.6774967737233,11,5,4,180.0,2592.588333333333,28,25-34,Nairobi,Medium,Employed,55645.82541437189,0.1,0
